address,btc balance
"3DGxAYYUA61WrrdbBac8Ra9eA9peAQwTJF", "3816.02167268"
"3E5NsFYg9H64TSB9MroJCCZJG7dJ179Yge", "975.63573108"
"15FKuPPqMdsFBXeSfT58UyuRjssxummkyo", "3.50653463"
"16CVzzWCbTXZcMZKX8Y77bwq8taaLRxxtK", "1.30992768"
"3479gSjwpQXmw2PtuDqyTRqLk5b8e1KLJi", "6.43590937"
"14ptAiypgEDFc68DsjG5HybfsqE87C96nc", "46.86164272"
"1FoWyxwPXuj4C6abqwhjDWdz6D4PZgYRjA", "7.72885507"
"3FDVEPpGhv13fUi3Jg3zAfSqDdnpUqXDwB", "3.49506911"
"3JXRVxhrk2o9f4w3cQchBLwUeegJBj6BEp", "1359.46562332"
"1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ", "713.82970266"
"37eYnoB7RyQKPxKcEati8A2kXt6oeYkMgQ", "2.04992"
"1Dowqie5rAFbSGSwwGu2uYACVaE8ET4kbW", "3.38755449"
"399ovDLkWB46Uuf21TLq94wQ9bD4sBxHGr", "115"
"1CtSxGYC9HgmdF7EZqkRX8ZuhLEjdTCPdQ", "1.08188012"
"39XQ3uTWHnftTVLxYkJsjX3AWsbk2zLsKk", "2"
"1G7jiV9bcjKSVxqUNuC3dSMKM5FjsaB3Wj", "3.46524362"
"3HRZjedwF2AJejNTtgznWnas4E6froNP5r", "7.19599525"
"16uwQNXSQfCAEH9PokmDs9SkDygvdtuSV5", "2.98269064"
"1FoWyxwPXuj4C6abqwhjDWdz6D4PZgYRjA", "7.72880306"
"1HsEnimf3GcgTes1CBiG8vVvZVgPEYmVw6", "1.35703938"
"1E3TLWyHT8e5HGc7RFVBU5sP5s9tfYVL21", "3.4765618"
"35VT9wRVHQzndnh4ENQtQhXkxZMooZaU6j", "3.57767009"
"1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ", "713.8276428"
"1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ", "713.82745554"
"3PEbWkVgwoqEtQEXqqwTZYQmUsM9ztqz86", "26.35184552"
"1PTeEUpofUTeXDwKtJMo2YKwVKsKRjtPya", "8.94670236"
"35f7MArLwrXwfBboZQ6iZ8rTzccQQATQze", "1.03408688"
"14mUZ6YiCBEKW6UAeBcSC6qiSnp2unJ1Pg", "1.20450258"
"1JVMd6sGviadvcjkkN6p99bRKu3QNMV7Ru", "1.42406722"
"3PttW2xqWU3BUeRkeUpK1snvpuyb8mKkP9", "119.93305322"
"1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9", "711.98811673"
"39VgGLvtWE8FnTYHYoUxDHFWyWZntJ5KGe", "438.29511601"
"3Bj2jVXAdkdCiPgnGuqxjhQEdZAVDo3hdf", "4.95152868"
"1EoomiuzgL13XK5NuqHR8GMcGsnkZggVie", "1.3794443"
"17kb7c9ndg7ioSuzMWEHWECdEVUegNkcGc", "204.05171437"
"1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ", "713.82651924"
"17eDxeFY3bA2KLwHvPX7VHJthndxHGNzVj", "1.82567105"
"3LBc9ndCoBfSKrThaV9QFR9kWHAwDv9fZf", "6.86433721"
"3E5NsFYg9H64TSB9MroJCCZJG7dJ179Yge", "973.64599265"
"3756ZEaiT1sZickR8inNzkRZER2UmWJiwL", "6.12570045"
"1Dowqie5rAFbSGSwwGu2uYACVaE8ET4kbW", "3.38773653"
"15FKuPPqMdsFBXeSfT58UyuRjssxummkyo", "3.45139163"
"3HRZjedwF2AJejNTtgznWnas4E6froNP5r", "7.14099656"
"1Ptv5qNTg6bpoMrH8zKqpiSA62jC3i76Nr", "451.40112607"
"3G5BmwyvUMp9dUyGSLZwjw2HagpaHmV5rn", "13.12224183"
"14ptAiypgEDFc68DsjG5HybfsqE87C96nc", "46.61181118"
"1EXCvCuXJr5EBFf9oSZU1SvztpE416GAJW", "100.37394869"
"1hQbdN6HEMWMTY9G8swUjvjBid9jK3tRA", "1.80902213"
"39EKjvDK6UEkpaBcLVbBen1M4dhh2iE9Lq", "4.53510382"
"3E5NsFYg9H64TSB9MroJCCZJG7dJ179Yge", "975.32038658"
"1HgcjDJEwe6KBTnEoXURL6UNscdpw9Vehm", "10.31212167"
"3JXRVxhrk2o9f4w3cQchBLwUeegJBj6BEp", "1359.13437393"
"1QGGyNTyCLrf8Rhh7QUjMWe1ESjmSVBuxm", "1.9914"
"1Po88ALhB8aDvvLM7n1QqZt2J48t2BbMKT", "39.88015011"
"1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ", "713.81742582"
"18g2T3U4zGqVLT56cqn8fgz5AUv4DovFaJ", "1.69902496"
"3JXRVxhrk2o9f4w3cQchBLwUeegJBj6BEp", "1359.12550462"
"1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ", "713.81723856"
"1KYiKJEfdJtap9QX2v9BXJMpz2SfU4pgZw", "97.85630888"
"3JXRVxhrk2o9f4w3cQchBLwUeegJBj6BEp", "1359.08444072"
"1Cc1SUhZkqbmtBsCq1Ytz16NWSmU1Lq9tY", "8.56959548"
"19PYg5yc742aCvh14MvGZ8BbSUjwz3kQge", "1.60242444"
"3PifM37hNtgyWFDNohYsMCi7aS41eNpV8L", "2.14560692"
"1QBXE3ByRvs3XkRnyhxmS6pTsQ3LfFNQoi", "2.42473677"
"17aenVozJaE3Q3xoYHTiPiuMA87x6KTgcm", "22.75860653"
"3EyCZLb3DMgL1T4D52VVqA4jUDDacnHkYW", "4.52941176"
"1E9Tk3eME1yQCoysmhCc9KeMenE64dqHME", "20.19351489"
"17A16QmavnUfCW11DAApiJxp7ARnxN5pGX", "3091.06266186"
"3JXRVxhrk2o9f4w3cQchBLwUeegJBj6BEp", "1359.63254617"
"39ZEaLMDxWi5EWx9cQ2W3ixDP8rWHhz8GY", "18.3818918"
